,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado
57597,241.415,Tenente Laurentino Cruz ,RN,Nordeste,16/03/2013,,Oferta Pública em Tenente Laurentino Cruz,CHB,Oferta Pública,Não Concluído,40,0,40,0,1000000.0,900000.0
57598,150.82,Vigia ,PA,Norte,10/08/2010,,Oferta Pública em Vigia,BANCO PAULISTA,Oferta Pública,Concluído,60,60,0,0,960000.0,960000.0
57599,260.83,Jupi ,PE,Nordeste,28/04/2010,,Oferta Pública em Jupi,BANCO SCHAHIN,Oferta Pública,Concluído,30,25,0,5,360000.0,354000.0
57600,520.082,Amaralina ,GO,Centro-Oeste,12/05/2013,,Oferta Pública em Amaralina,CCB,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57601,241.46,Upanema ,RN,Nordeste,04/01/2013,,Oferta Pública em Upanema,CHB,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57602,293.06,Serrolândia ,BA,Nordeste,04/01/2013,,Oferta Pública em Serrolândia,ECONOMISA,Oferta Pública,Não Concluído,40,0,40,0,1000000.0,900000.0
57603,510.623,Nova Olímpia ,MT,Centro-Oeste,25/02/2013,,Oferta Pública em Nova Olímpia,BANCO TRICURY,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57604,314.31,Monte Carmelo ,MG,Sudeste,15/06/2010,,Oferta Pública em Monte Carmelo,BANCO BONSUCESSO,Oferta Pública,Concluído,60,60,0,0,960000.0,960000.0
57605,221.05,São Pedro do Piauí ,PI,Nordeste,25/02/2013,,Oferta Pública em São Pedro do Piauí,PROVÍNCIA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57606,351.99,Iepê ,SP,Sudeste,29/04/2010,,Oferta Pública em Iepê,CCB,Oferta Pública,Não Concluído,29,0,29,0,377000.0,263900.0
57607,230.48,Granjeiro ,CE,Nordeste,05/05/2010,,Oferta Pública em Granjeiro,CCB,Oferta Pública,Não Concluído,25,19,6,0,300000.0,292800.0
57608,171.245,Luzinópolis ,TO,Norte,23/04/2010,,Oferta Pública em Luzinópolis,BANCO PAULISTA,Oferta Pública,Não Concluído,30,0,30,0,390000.0,195000.0
57609,293.16,Teolândia,BA,Nordeste,25/02/2013,,Oferta Pública em Teolândia,ECONOMISA,Oferta Pública,Não Concluído,37,0,37,0,925000.0,628750.0
57610,160.07,Tartarugalzinho ,AP,Norte,25/02/2013,,Oferta Pública em Tartarugalzinho,ECONOMISA,Oferta Pública,Não Concluído,40,0,40,0,1000000.0,887500.0
57611,411.54,Marmeleiro ,PR,Sul,18/11/2010,,Oferta Pública em Marmeleiro,CRESOL BASER,Oferta Pública,Concluído,29,29,0,0,348000.0,348000.0
57612,211.285,Vila Nova dos Martírios ,MA,Nordeste,25/02/2013,,Oferta Pública em Vila Nova dos Martírios,DOMUS,Oferta Pública,Não Concluído,24,9,10,5,600000.0,518750.0
57613,410.95,Guaraqueçaba ,PR,Sul,18/02/2013,,Oferta Pública em Guaraqueçaba,COHAPAR,Oferta Pública,Concluído,24,24,0,0,600000.0,600000.0
57614,250.535,Damião ,PB,Nordeste,08/02/2013,,Oferta Pública em Damião,ECONOMISA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57615,220.553,Jurema ,PI,Nordeste,28/12/2012,,Oferta Pública em Jurema,FAMÍLIA PAULISTA,Oferta Pública,Concluído,34,34,0,0,850000.0,840000.0
57616,290.5,Caculé ,BA,Nordeste,30/08/2010,,Oferta Pública em Caculé,COBANSA,Oferta Pública,Concluído,60,60,0,0,900000.0,900000.0
57617,210.96,Rosário ,MA,Nordeste,01/06/2010,,Oferta Pública em Rosário,CCB,Oferta Pública,Concluído,38,38,0,0,570000.0,570000.0
57618,354.38,Rinópolis ,SP,Sudeste,10/08/2010,,Oferta Pública em Rinópolis,CCB,Oferta Pública,Não Concluído,15,13,2,0,195000.0,192400.0
57619,230.5,Guaraciaba do Norte ,CE,Nordeste,23/04/2010,,Oferta Pública em Guaraciaba do Norte,BANCO TRICURY,Oferta Pública,Concluído,58,55,0,3,870000.0,856500.0
57620,220.62,Miguel Alves ,PI,Nordeste,30/08/2010,,Oferta Pública em Miguel Alves,FAMÍLIA PAULISTA,Oferta Pública,Concluído,30,30,0,0,450000.0,450000.0
57621,240.34,Equador ,RN,Nordeste,16/07/2010,,Oferta Pública em Equador,CHB,Oferta Pública,Não Concluído,30,25,5,0,360000.0,354000.0
57622,240.38,Florânia ,RN,Nordeste,04/01/2013,,Oferta Pública em Florânia,BANCO PAULISTA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57623,241.17,São Bento do Trairí ,RN,Nordeste,25/08/2010,,Oferta Pública em São Bento do Trairí,BANCO PAULISTA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57624,510.48,Jaciara ,MT,Centro-Oeste,25/02/2013,,Oferta Pública em Jaciara,BANCO TRICURY,Oferta Pública,Não Concluído,45,31,14,0,1125000.0,1090000.0
57625,320.36,Mucurici ,ES,Sudeste,30/08/2010,,Oferta Pública em Mucurici,BANCO TRICURY,Oferta Pública,Concluído,30,30,0,0,390000.0,390000.0
57626,220.196,Brasileira ,PI,Nordeste,16/07/2010,,Oferta Pública em Brasileira,CHB,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57627,411.96,Pitanga ,PR,Sul,28/12/2012,,Oferta Pública em Pitanga,ECONOMISA,Oferta Pública,Concluído,50,50,0,0,1250000.0,1250000.0
57628,411.63,Munhoz de Melo ,PR,Sul,21/07/2010,,Oferta Pública em Munhoz de Melo,BANCO SICREDI,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57629,261.23,Saloá ,PE,Nordeste,25/02/2013,,Oferta Pública em Saloá,DOMUS,Oferta Pública,Não Concluído,40,37,3,0,1000000.0,992500.0
57630,230.91,Mulungu ,CE,Nordeste,25/02/2013,,Oferta Pública em Mulungu,BANCO BONSUCESSO,Oferta Pública,Não Concluído,39,22,17,0,975000.0,713750.0
57631,220.559,Lagoa do Sítio ,PI,Nordeste,31/10/2012,,Oferta Pública em Lagoa do Sítio,CHB,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57632,220.945,Santo Antônio dos Milagres ,PI,Nordeste,30/08/2010,,Oferta Pública em Santo Antônio dos Milagres,FAMÍLIA PAULISTA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57633,292.3,Nova Viçosa ,BA,Nordeste,30/08/2010,,Oferta Pública em Nova Viçosa,BANCO MORADA,Oferta Pública,Distratado/Cancelado,60,0,0,60,900000.0,270000.0
57634,312.86,Guarda-Mor ,MG,Sudeste,15/06/2010,,Oferta Pública em Guarda-Mor,COHAB/MG,Oferta Pública,Concluído,30,30,0,0,390000.0,390000.0
57635,260.05,Águas Belas ,PE,Nordeste,02/06/2010,,Oferta Pública em Águas Belas,CEHAB/PE,Oferta Pública,Não Concluído,60,45,15,0,900000.0,877500.0
57636,240.65,Lagoa Nova ,RN,Nordeste,04/01/2013,,Oferta Pública em Lagoa Nova,BANCO PAULISTA,Oferta Pública,Concluído,37,37,0,0,925000.0,925000.0
57637,290.205,Araças ,BA,Nordeste,25/02/2013,,Oferta Pública em Araças,BANCO LUSO BRASILEIRO,Oferta Pública,Não Concluído,40,39,1,0,1000000.0,995000.0
